developer_id,developer_name,developer_type,primary_city,operating_cities,emirate,tier,established_year,rera_registration_no,rera_registered,adm_registered,monthly_capacity_units,office_area_sqft,num_agents,annual_target_units,performance_score,rating
DEV0001,Emaar Properties,Developer,Dubai,"Dubai,Abu Dhabi,Sharjah",Dubai,Tier 1,1997,RERA-DEV-001,True,True,800,120000,2500,12000,96.2,4.7
DEV0002,DAMAC Properties,Developer,Dubai,"Dubai,Abu Dhabi,Oman,KSA",Dubai,Tier 1,2002,RERA-DEV-002,True,False,600,90000,1800,9000,91.5,4.3
DEV0003,Aldar Properties,Developer,Abu Dhabi,"Abu Dhabi,Dubai",Abu Dhabi,Tier 1,2004,RERA-DEV-003,True,True,700,95000,2000,10000,93.8,4.5
DEV0004,Nakheel,Developer,Dubai,Dubai,Dubai,Tier 1,2000,RERA-DEV-004,True,False,500,75000,1500,8000,88.4,4.2
DEV0005,Meraas,Developer,Dubai,Dubai,Dubai,Tier 1,2007,RERA-DEV-005,True,False,350,50000,900,5500,90.1,4.4
DEV0006,Sobha Realty,Developer,Dubai,"Dubai,Abu Dhabi",Dubai,Tier 1,1976,RERA-DEV-006,True,True,280,40000,700,4000,89.6,4.6
DEV0007,Azizi Developments,Developer,Dubai,Dubai,Dubai,Tier 2,2007,RERA-DEV-007,True,False,250,35000,600,3500,78.2,3.9
DEV0008,Danube Properties,Developer,Dubai,Dubai,Dubai,Tier 2,2014,RERA-DEV-008,True,False,220,30000,550,3000,81.4,4.1
DEV0009,Binghatti,Developer,Dubai,Dubai,Dubai,Tier 2,2008,RERA-DEV-009,True,False,180,22000,400,2500,79.8,3.8
DEV0010,Ellington Properties,Developer,Dubai,Dubai,Dubai,Tier 2,2014,RERA-DEV-010,True,False,150,18000,300,2000,85.3,4.4
DEV0011,RAK Properties,Developer,Ras Al Khaimah,Ras Al Khaimah,Ras Al Khaimah,Tier 2,2005,RERA-RAK-001,True,False,120,15000,250,1500,76.1,3.9
DEV0012,Tiger Properties,Developer,Dubai,"Dubai,Sharjah,Ajman",Dubai,Tier 2,1976,RERA-DEV-012,True,False,180,20000,400,2200,72.4,3.7
DEV0013,Imtiaz Developments,Developer,Dubai,Dubai,Dubai,Tier 2,2003,RERA-DEV-013,True,False,130,14000,280,1600,77.9,4.0
DEV0014,Select Group,Developer,Dubai,Dubai,Dubai,Tier 2,2002,RERA-DEV-014,True,False,110,12000,220,1400,80.5,4.2
DEV0015,Reportage Properties,Developer,Abu Dhabi,"Abu Dhabi,Dubai",Abu Dhabi,Tier 3,2014,RERA-DEV-015,True,True,80,8000,160,1000,70.3,3.8
DEV0016,Samana Developers,Developer,Dubai,Dubai,Dubai,Tier 3,2017,RERA-DEV-016,True,False,70,7000,140,900,74.6,3.9
DEV0017,Object 1,Developer,Dubai,Dubai,Dubai,Tier 3,2020,RERA-DEV-017,True,False,50,5000,100,600,68.9,4.0
DEV0018,Majid Al Futtaim,Developer,Dubai,"Dubai,Abu Dhabi,Sharjah",Dubai,Tier 1,1992,RERA-DEV-018,True,True,400,55000,1000,6000,87.2,4.3
DEV0019,Dubai Properties,Developer,Dubai,Dubai,Dubai,Tier 1,2002,RERA-DEV-019,True,False,300,42000,800,4500,85.0,4.1
DEV0020,Meydan Group,Developer,Dubai,Dubai,Dubai,Tier 1,2007,RERA-DEV-020,True,False,200,25000,500,3000,82.7,4.0
