record_id,project_id,project_name,developer_id,report_date,milestone_name,milestone_planned_start,milestone_planned_end,milestone_actual_start,milestone_actual_end,planned_progress_pct,actual_progress_pct,progress_variance_pct,delay_days,delay_reason,planned_budget_aed,actual_cost_aed,cost_variance_aed,cost_overrun_pct,total_project_budget_aed,total_spent_to_date_aed,budget_utilization_pct,contractor_id,contractor_name,labour_deployed,labour_planned,resource_utilization_pct,rera_inspection_passed,quality_score,safety_incidents,project_health_score,delay_risk_flag,escalation_flag,next_milestone,next_milestone_due_date,handover_date_original,handover_date_revised
CONS000001,PRJ0049,Nakheel Yas Acres Tower,DEV0004,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-09,2017-12-12,72.3,77.3,5.03,5,,296850236,298513618,1663382,0.56,1781101416,1791081708,100.56,CONT035,Contractor_193,94,122,77.05,False,65.3,0,84.5,False,False,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000002,PRJ0069,Emaar Properties Dubai Hills Estate Gardens,DEV0001,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-08,2018-05-13,92.2,89.1,-3.14,7,,301488651,303089118,1600467,0.53,1808931906,1515445590,100.53,CONT087,Contractor_160,201,304,66.12,True,88.3,0,93.1,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000003,PRJ0049,Binghatti Al Majaz Gardens,DEV0009,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-11,2018-05-19,70.7,67.5,-3.24,13,,250335230,255030014,4694784,1.88,1502011380,1275150070,101.88,CONT155,Contractor_125,54,79,68.35,False,55.9,0,77.9,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000004,PRJ0018,Danube Properties Sports City Gardens,DEV0008,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-04,2019-03-06,91.8,87.9,-3.87,4,,363167151,433193547,70026396,19.28,2179002906,866387094,119.28,CONT073,Contractor_096,282,290,97.24,True,66.9,0,79.8,False,True,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000005,PRJ0172,Danube Properties Al Marjan Island Tower,DEV0008,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-02,,65.2,69.9,4.73,0,,75498613,71600949,-3897664,-5.16,452991678,143201898,94.84,CONT094,Contractor_151,609,641,95.01,False,82.8,0,93.1,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000006,PRJ0029,Meraas Yas Acres Heights,DEV0005,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-10,2019-03-18,62.8,56.2,-6.6,16,Labour Shortage,908084367,731399938,-176684429,-19.46,5448506202,1462799876,80.54,CONT125,Contractor_117,47,67,70.15,False,80.8,0,87.5,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000007,PRJ0100,Nakheel Discovery Gardens Gardens,DEV0004,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-18,2018-06-30,98.9,90.7,-8.24,25,Weather,177761785,213244742,35482957,19.96,1066570710,852978968,119.96,CONT148,Contractor_038,59,70,84.29,True,100.0,0,86.5,False,True,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000008,PRJ0117,Majid Al Futtaim Yas Island Gardens,DEV0018,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-02,2019-03-05,99.1,100.0,0.9,3,,344081563,286236238,-57845325,-16.81,2064489378,286236238,83.19,CONT068,Contractor_112,15,23,65.22,True,97.6,0,98.1,False,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000009,PRJ0030,Aldar Properties Yas Island Tower,DEV0003,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-08,2018-10-09,91.8,94.5,2.65,6,,91698975,92707810,1008835,1.1,550193850,278123430,101.1,CONT082,Contractor_052,288,279,103.23,True,72.7,1,86.9,False,True,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000010,PRJ0191,Dubai Properties Al Reef Heights,DEV0019,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-06,2018-10-05,71.7,65.5,-6.17,2,,525122674,488564897,-36557777,-6.96,3150736044,1465694691,93.04,CONT194,Contractor_087,133,219,60.73,True,65.2,0,85.5,False,False,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000011,PRJ0009,Select Group Saadiyat Island Tower,DEV0014,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-10,2018-10-14,62.4,55.4,-7.02,11,,264150604,238073459,-26077145,-9.87,1584903624,714220377,90.13,CONT010,Contractor_078,411,599,68.61,True,84.0,0,90.3,False,False,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000012,PRJ0150,DAMAC Properties Dubai Marina Heights,DEV0002,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-12,2019-03-22,60.3,50.6,-9.67,20,Design Change,154468823,174544105,20075282,13.0,926812938,349088210,113.0,CONT176,Contractor_142,342,339,100.88,True,93.6,0,87.5,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000013,PRJ0036,Emaar Properties Al Shamkha Tower,DEV0001,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-16,2019-04-02,66.9,57.3,-9.56,31,Weather,210387988,250138972,39750984,18.89,1262327928,250138972,118.89,CONT090,Contractor_065,133,202,65.84,True,92.8,0,82.2,True,True,Structure,2019-06-30,2020-03-26,2019-04-08
CONS000014,PRJ0184,Aldar Properties Saadiyat Island Tower,DEV0003,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-07,2018-10-07,99.7,86.2,-13.52,4,,31663585,29994870,-1668715,-5.27,189981510,89984610,94.73,CONT099,Contractor_141,109,164,66.46,True,74.7,1,88.7,True,True,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000015,PRJ0061,Azizi Developments Dubai Creek Harbour Gardens,DEV0007,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-07,2019-03-15,78.1,66.2,-11.94,13,,314014049,253616714,-60397335,-19.23,1884084294,253616714,80.77,CONT066,Contractor_082,467,759,61.53,True,68.8,0,83.6,True,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000016,PRJ0097,Danube Properties Motor City Gardens,DEV0008,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-12,2018-06-17,99.7,90.1,-9.57,12,,153200175,124735543,-28464632,-18.58,919201050,498942172,81.42,CONT063,Contractor_051,156,214,72.9,True,68.7,1,83.9,False,True,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000017,PRJ0024,Object 1 Hayat Island Gardens,DEV0017,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-07,2018-06-08,72.4,73.3,0.93,3,,82598642,72952636,-9646006,-11.68,495591852,291810544,88.32,CONT079,Contractor_197,454,639,71.05,True,74.3,0,88.8,False,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000018,PRJ0149,Meydan Group Yas Acres Gardens,DEV0020,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-08,2017-12-10,88.4,89.2,0.8,3,,473203274,426745067,-46458207,-9.82,2839219644,2560470402,90.18,CONT107,Contractor_015,139,143,97.2,True,72.0,1,87.9,False,True,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000019,PRJ0105,Emaar Properties Al Marjan Island Tower,DEV0001,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-07,2018-05-11,70.6,69.3,-1.28,5,,212682262,247494937,34812675,16.37,1276093572,1237474685,116.37,CONT124,Contractor_093,106,167,63.47,True,85.6,0,87.8,False,True,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000020,PRJ0011,Majid Al Futtaim Al Reef Gardens,DEV0018,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-09,2017-12-12,75.5,75.9,0.4,5,,155575818,172044398,16468580,10.59,933454908,1032266388,110.59,CONT106,Contractor_133,360,459,78.43,True,71.1,0,83.8,False,False,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000021,PRJ0059,Azizi Developments Al Qasimia Tower,DEV0007,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-10,2018-06-13,99.2,91.1,-8.1,8,,75444872,78708686,3263814,4.33,452669232,314834744,104.33,CONT051,Contractor_121,18,20,90.0,True,100.0,0,96.3,False,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000022,PRJ0156,Majid Al Futtaim DAMAC Hills Gardens,DEV0018,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-02,2019-03-04,79.9,82.8,2.92,2,,60179591,49244807,-10934784,-18.17,361077546,49244807,81.83,CONT198,Contractor_170,23,35,65.71,True,64.6,0,85.2,False,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000023,PRJ0018,Select Group JBR Heights,DEV0014,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-04,2019-03-08,98.4,92.1,-6.27,6,,120913253,110586549,-10326704,-8.54,725479518,110586549,91.46,CONT181,Contractor_059,353,487,72.48,True,94.8,0,96.1,False,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000024,PRJ0105,Danube Properties Al Barsha Gardens,DEV0008,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-20,2018-01-02,98.7,93.4,-5.34,26,Design Change,61171724,70983081,9811357,16.04,367030344,425898486,116.04,CONT001,Contractor_011,62,93,66.67,True,67.1,0,74.2,False,True,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000025,PRJ0190,Reportage Properties Khalifa City Tower,DEV0015,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-22,2019-04-14,99.5,92.1,-7.36,43,Design Change,105627890,125527473,19899583,18.84,633767340,125527473,118.84,CONT142,Contractor_040,70,69,101.45,True,77.6,0,72.5,True,True,Structure,2019-06-30,2020-03-26,2019-04-22
CONS000026,PRJ0087,Dubai Properties Dubai Marina Gardens,DEV0019,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-10,2019-03-21,83.4,88.0,4.57,19,Financing,49151208,58312270,9161062,18.64,294907248,58312270,118.64,CONT138,Contractor_086,630,745,84.56,False,82.9,1,81.9,False,True,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000027,PRJ0014,Binghatti Yas Acres Gardens,DEV0009,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-05,2019-03-08,91.2,82.1,-9.1,6,,195157880,215755559,20597679,10.55,1170947280,431511118,110.55,CONT079,Contractor_042,116,163,71.17,True,96.2,0,93.5,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
