property_id,project_name,developer_id,emirate,city,locality,region,property_type,property_category,bedrooms,completion_status,area_sqft,listed_price_aed,price_per_sqft_aed,total_units_in_project,launch_year,freehold,golden_visa_eligible,dld_permit_no,rera_registration_no,amenities,walkability_score,metro_proximity_km,school_proximity_km,service_charge_per_sqft_aed
PROP0001,Nakheel Qidfa Residences,DEV0004,Fujairah,Fujairah,Qidfa,North UAE,Townhouse,Mid-Market,5BR+,Ready,2715.8,3923083,1444.52,105,2024,True,True,DLD-NOC-959317,RERA-59036,"Gym,Parking,BBQ Area",65.9,5.0,1.8,34.45
PROP0002,Emaar Properties Al Shamkha Views,DEV0001,Abu Dhabi,Abu Dhabi,Al Shamkha,South UAE,Apartment,Premium,2BR,Ready,694.8,2003671,2883.87,9,2019,False,True,DLD-NOC-453021,RERA-61766,"Pool,Gym,Parking",83.3,3.3,4.9,17.28
PROP0003,Binghatti Al Reem Island Gardens,DEV0009,Abu Dhabi,Abu Dhabi,Al Reem Island,South UAE,Apartment,Luxury,2BR,Off-Plan,1310.0,8154635,6224.89,45,2019,True,True,DLD-NOC-391711,RERA-29544,"Pool,Gym,Parking",87.1,0.7,1.3,15.96
PROP0004,Danube Properties Al Marjan Island Park,DEV0008,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,North UAE,Apartment,Mid-Market,5BR+,Ready,1043.8,1347764,1291.22,9,2020,True,False,DLD-NOC-408759,RERA-77147,"Pool,Gym,Kids Play,Parking",65.8,1.7,1.8,15.22
PROP0005,Danube Properties Discovery Gardens Gardens,DEV0008,Dubai,Dubai,Discovery Gardens,South UAE,Townhouse,Mid-Market,2BR,Off-Plan,4072.1,5821642,1429.64,283,2024,True,True,DLD-NOC-145973,RERA-95077,"Pool,Gym,Parking",46.3,5.3,3.0,15.54
PROP0006,Meraas Sports City Heights,DEV0005,Dubai,Dubai,Sports City,South UAE,Villa,Affordable,Studio,Ready,2890.9,1681511,581.65,108,2019,True,False,DLD-NOC-809338,RERA-21196,"Pool,Gym,Kids Play,Parking",47.8,6.6,4.2,23.17
PROP0007,Nakheel Al Reef Heights,DEV0004,Abu Dhabi,Abu Dhabi,Al Reef,South UAE,Penthouse,Premium,1BR,Off-Plan,1689.8,2647604,1566.84,255,2024,False,True,DLD-NOC-833479,RERA-98617,"Pool,Gym,Parking,Concierge,Spa",90.8,4.2,3.5,21.28
PROP0008,Majid Al Futtaim Al Nahda Gardens,DEV0018,Sharjah,Sharjah,Al Nahda,Central UAE,Apartment,Affordable,2BR,Off-Plan,1798.8,1269356,705.65,216,2023,True,False,DLD-NOC-968861,RERA-12480,"Pool,Gym,Parking",40.5,3.1,4.7,20.02
PROP0009,Aldar Properties Meydan Residences,DEV0003,Dubai,Dubai,Meydan,South UAE,Villa,Mid-Market,3BR,Ready,4701.3,6655511,1415.67,77,2020,True,True,DLD-NOC-634208,RERA-43369,"Pool,Gym,Kids Play,Parking",65.0,4.8,3.3,32.31
PROP0010,Dubai Properties Saadiyat Island Residences,DEV0019,Abu Dhabi,Abu Dhabi,Saadiyat Island,South UAE,Villa,Mid-Market,2BR,Ready,2875.3,3806134,1323.73,142,2024,True,True,DLD-NOC-740507,RERA-92584,"Pool,Gym,Parking",91.5,3.7,1.9,24.62
PROP0011,Select Group Al Ghadeer Tower,DEV0014,Abu Dhabi,Abu Dhabi,Al Ghadeer,South UAE,Villa,Premium,Studio,Off-Plan,3597.7,5421315,1506.89,155,2019,True,True,DLD-NOC-769948,RERA-33745,"Pool,Gym,Parking",89.9,7.8,2.4,29.53
PROP0012,DAMAC Properties Meydan Heights,DEV0002,Dubai,Dubai,Meydan,South UAE,Apartment,Mid-Market,4BR,Ready,1357.7,1379799,1016.29,339,2022,True,False,DLD-NOC-166443,RERA-73939,"Gym,Parking,BBQ Area",62.4,1.7,1.4,27.94
PROP0013,Emaar Properties Dubai Marina Heights,DEV0001,Dubai,Dubai,Dubai Marina,South UAE,Apartment,Mid-Market,2BR,Ready,1118.5,1173975,1049.62,96,2022,True,False,DLD-NOC-801659,RERA-96402,"Pool,Gym,Parking",60.4,4.5,0.7,22.28
PROP0014,Aldar Properties Al Barsha Residences,DEV0003,Dubai,Dubai,Al Barsha,South UAE,Commercial,Mid-Market,1BR,Ready,1247.2,1286373,1031.42,94,2019,True,False,DLD-NOC-496721,RERA-35018,"Pool,Gym,Kids Play,Parking",56.3,6.5,3.7,20.52
PROP0015,Azizi Developments Al Nahda Residences,DEV0007,Sharjah,Sharjah,Al Nahda,Central UAE,Plot,Mid-Market,3BR,Off-Plan,1962.3,2003238,1020.87,92,2021,True,True,DLD-NOC-369441,RERA-11403,"Pool,Gym,Kids Play,Parking",62.1,2.8,4.0,30.82
PROP0016,Danube Properties JBR Residences,DEV0008,Dubai,Dubai,JBR,South UAE,Apartment,Mid-Market,1BR,Off-Plan,1250.5,1543593,1234.42,12,2025,True,False,DLD-NOC-270993,RERA-66946,"Pool,Gym,Kids Play,Parking",54.8,3.8,3.4,30.73
PROP0017,Object 1 Dubai Hills Estate Residences,DEV0017,Dubai,Dubai,Dubai Hills Estate,South UAE,Plot,Luxury,3BR,Off-Plan,1940.2,12332068,6356.17,46,2025,True,True,DLD-NOC-201157,RERA-40160,"Parking,Gym",77.6,0.9,1.3,33.94
PROP0018,Meydan Group Muwaileh Views,DEV0020,Sharjah,Sharjah,Muwaileh,Central UAE,Villa,Premium,3BR,Off-Plan,1487.5,3619896,2433.6,124,2025,False,True,DLD-NOC-413876,RERA-64011,"Gym,Parking,BBQ Area",59.5,1.7,3.6,16.66
PROP0019,Emaar Properties Fujairah City Views,DEV0001,Fujairah,Fujairah,Fujairah City,North UAE,Villa,Affordable,2BR,Ready,2103.7,933220,443.6,60,2023,True,False,DLD-NOC-743656,RERA-95671,"Pool,Gym,Parking",92.2,0.4,2.9,23.76
PROP0020,Majid Al Futtaim DAMAC Hills Views,DEV0018,Dubai,Dubai,DAMAC Hills,South UAE,Townhouse,Luxury,1BR,Off-Plan,2859.4,19881297,6952.86,13,2025,True,True,DLD-NOC-105387,RERA-83970,"Pool,Gym,Parking",65.4,4.5,3.0,29.45
PROP0021,Azizi Developments Dubai Hills Estate Heights,DEV0007,Dubai,Dubai,Dubai Hills Estate,South UAE,Apartment,Premium,5BR+,Off-Plan,1143.4,2857059,2498.64,69,2019,True,True,DLD-NOC-536662,RERA-56446,"Pool,Gym,Parking,Concierge,Spa",56.5,3.4,4.3,12.25
PROP0022,Majid Al Futtaim DAMAC Hills Gardens,DEV0018,Dubai,Dubai,DAMAC Hills,South UAE,Apartment,Mid-Market,2BR,Off-Plan,1917.8,1934320,1008.63,48,2024,True,False,DLD-NOC-851889,RERA-72594,"Pool,Gym,Parking",70.7,1.9,4.8,18.96
