record_id,record_date,year,month,developer_id,developer_name,developer_tier,project_name,emirate,locality,property_type,property_category,bedrooms,units_launched,launch_price_ppsf_aed,units_sold_pct,absorption_rate_units_pm,discount_offered_pct,payment_plan_offered,completion_status,possession_timeline_months,marketing_spend_estimate_aed,digital_ad_impressions,social_media_mentions,cityscape_presence,price_change_pct_mom,competitor_strength_score
COMP000001,2019-01-01,2019,1,DEV0004,Nakheel,Tier 1,Nakheel Al Taawun Residences,Sharjah,Al Taawun,Villa,Mid-Market,2BR,92,1335.58,28.4,6.5,6.13,Post-Handover Payment Plan (PHPP),Off-Plan,21,282852,103590,420,False,-2.51,47.3
COMP000002,2019-01-01,2019,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties MBR City Park,Dubai,MBR City,Villa,Mid-Market,2BR,126,1275.79,9.2,5.8,2.81,Cash,Off-Plan,13,860502,290075,26,False,1.85,59.9
COMP000003,2019-01-01,2019,1,DEV0009,Binghatti,Tier 2,Binghatti Al Shamkha Park,Abu Dhabi,Al Shamkha,Commercial,Premium,3BR,44,1959.11,53.5,23.5,2.59,Mortgage,Ready,26,180019,1026504,1538,False,0.14,90.5
COMP000004,2019-01-01,2019,1,DEV0008,Danube Properties,Tier 2,Danube Properties JVC Residences,Dubai,JVC,Villa,Affordable,Studio,160,300.44,92.0,49.1,6.48,Deferred Payment,Ready,28,227828,597811,37,False,-2.1,75.5
COMP000005,2019-01-01,2019,1,DEV0008,Danube Properties,Tier 2,Danube Properties Palm Jumeirah Gardens,Dubai,Palm Jumeirah,Apartment,Ultra-Luxury,3BR,73,7733.33,37.2,27.2,0.17,Post-Handover Payment Plan (PHPP),Off-Plan,3,713597,282121,2537,False,4.5,52.5
COMP000006,2019-01-01,2019,1,DEV0005,Meraas,Tier 1,Meraas Sports City Park,Dubai,Sports City,Villa,Premium,3BR,23,1672.19,75.3,17.3,3.06,Mortgage,Off-Plan,29,283843,70914,274,False,-1.27,50.7
COMP000007,2019-01-01,2019,1,DEV0004,Nakheel,Tier 1,Nakheel Dubai Marina Gardens,Dubai,Dubai Marina,Apartment,Premium,2BR,295,2897.41,56.1,15.0,3.92,Cash,Ready,0,84293,652753,1435,False,0.8,63.0
COMP000008,2019-01-01,2019,1,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Dubai Creek Harbour Heights,Dubai,Dubai Creek Harbour,Apartment,Luxury,2BR,37,6125.64,64.8,8.0,3.86,Mortgage,Off-Plan,25,929362,242311,929,False,2.04,60.5
COMP000009,2019-01-01,2019,1,DEV0003,Aldar Properties,Tier 1,Aldar Properties Al Jurf Residences,Ajman,Al Jurf,Apartment,Affordable,2BR,162,673.84,100.0,81.0,0.33,Construction-Linked,Off-Plan,14,2939442,53807,1042,False,0.19,46.9
COMP000010,2019-01-01,2019,1,DEV0019,Dubai Properties,Tier 1,Dubai Properties Dubai South Residences,Dubai,Dubai South,Commercial,Mid-Market,3BR,27,862.71,52.9,14.3,1.72,Cash,Off-Plan,33,155124,45969,597,False,0.5,91.3
