vehicle_id,brand,model,variant,category,fuel_type,price_eur,engine_cc,power_kw,consumption_l_per_100km,consumption_kwh_per_100km,range_km,co2_g_per_km,emission_class,annual_vehicle_tax_eur,seating_capacity,transmission,drive_type,body_color_options,safety_rating,launch_year,is_active,warranty_years,service_contract_available,origin,residual_value_36mo
VH0001,Volkswagen,Golf,Life,Compact,Petrol,32000,1498.0,110,5.6,,,127,Euro 6d,96,5,DSG,FWD,8,5,2020,True,2,False,Domestic,0.52
VH0002,Volkswagen,Golf,Style,Compact,Petrol,35000,1498.0,110,5.8,,,132,Euro 6d,107,5,DSG,FWD,7,5,2020,True,2,True,Domestic,0.52
VH0003,Volkswagen,Golf Variant,Life,Estate,Diesel,36000,1968.0,110,4.8,,,126,Euro 6d,251,5,DSG,FWD,8,5,2021,True,2,False,Domestic,0.51
VH0004,Volkswagen,Golf Variant,Style,Estate,Diesel,39500,1968.0,110,5.0,,,131,Euro 6d,262,5,Manual,FWD,8,5,2021,True,2,True,Domestic,0.51
VH0005,Volkswagen,Golf GTI,Life,Compact,Petrol,45000,1984.0,195,7.3,,,166,Euro 6d,206,5,Manual,FWD,5,5,2021,True,2,True,Domestic,0.56
VH0006,Volkswagen,Golf GTI,Style,Compact,Petrol,49500,1984.0,195,7.5,,,173,Euro 6d,226,5,DSG,FWD,9,5,2021,True,2,True,Domestic,0.56
VH0007,Volkswagen,T-Roc,Life,SUV,Petrol,31000,1498.0,110,6.2,,,141,Euro 6d,129,5,DSG,FWD,5,5,2022,True,2,True,Domestic,0.54
VH0008,Volkswagen,T-Roc,Style,SUV,Petrol,34000,1498.0,110,6.4,,,147,Euro 6d,144,5,DSG,FWD,7,5,2022,True,2,True,Domestic,0.54
VH0009,Volkswagen,T-Cross,Life,SUV,Petrol,26000,999.0,85,5.8,,,132,Euro 6d,97,5,DSG,FWD,8,5,2022,True,2,False,Domestic,0.5
VH0010,Volkswagen,T-Cross,Style,SUV,Petrol,28500,999.0,85,6.0,,,137,Euro 6d,109,5,DSG,FWD,6,5,2022,True,2,False,Domestic,0.5
VH0011,Volkswagen,Tiguan,Life,SUV,Petrol,40000,1498.0,110,6.5,,,148,Euro 6e,146,5,Manual,FWD,6,5,2024,True,2,True,Domestic,0.55
