dataset_name,source,download_url,records,columns,size_mb,status,category
developer_market_share,Developer market share based on DLD published statistics,Developer market share based on DLD published statistics,336,7,0.013,generated_from_public_stats,competitive
dubai_price_index_by_area_quarter,CBRE / ValuStrat / DXB Interact price index data,CBRE / ValuStrat / DXB Interact price index data,600,10,0.036,generated_from_public_stats,competitive
property_listings_2024,Property Finder / Bayut (publicly available listings) - Modeled,Property Finder / Bayut (publicly available listings) - Modeled,75000,20,10.006,generated_from_public_stats,competitive
airport_codes,https://raw.githubusercontent.com/datasets/airport-codes/main/data/airport-codes,https://raw.githubusercontent.com/datasets/airport-codes/main/data/airport-codes.csv (OurAirports),85543,13,8.819,downloaded,infrastructure
dubai_bus_routes,Roads and Transport Authority (RTA) Dubai,Roads and Transport Authority (RTA) Dubai,200,10,0.013,generated_from_public_stats,infrastructure
dubai_metro_stations,Roads and Transport Authority (RTA) Dubai,Roads and Transport Authority (RTA) Dubai,30,11,0.002,generated_from_public_stats,infrastructure
uae_airports,OurAirports - UAE filtered,OurAirports - UAE filtered,305,13,0.03,generated_from_public_stats,infrastructure
uae_cities,World Cities dataset - UAE filtered,World Cities dataset - UAE filtered,63,4,0.003,generated_from_public_stats,infrastructure
uae_free_zones,UAE Ministry of Economy / Free Zone Authorities,UAE Ministry of Economy / Free Zone Authorities,18,12,0.002,generated_from_public_stats,infrastructure
uae_infrastructure_projects,Dubai Municipality / RTA / Various UAE Authorities,Dubai Municipality / RTA / Various UAE Authorities,500,13,0.06,generated_from_public_stats,infrastructure
world_cities,https://raw.githubusercontent.com/datasets/world-cities/master/data/world-cities,https://raw.githubusercontent.com/datasets/world-cities/master/data/world-cities.csv,33747,4,1.318,downloaded,infrastructure
country_codes,https://raw.githubusercontent.com/datasets/country-codes/main/data/country-codes,https://raw.githubusercontent.com/datasets/country-codes/main/data/country-codes.csv,249,56,0.136,downloaded,macroeconomic
currency_codes,ISO 4217 Currency Codes,ISO 4217 Currency Codes,449,6,0.019,generated_from_public_stats,macroeconomic
gold_prices,https://raw.githubusercontent.com/datasets/gold-prices/master/data/monthly.csv,https://raw.githubusercontent.com/datasets/gold-prices/master/data/monthly.csv,2321,2,0.033,downloaded,macroeconomic
mena_gdp_worldbank,https://raw.githubusercontent.com/datasets/gdp/master/data/gdp.csv (World Bank v,https://raw.githubusercontent.com/datasets/gdp/master/data/gdp.csv (World Bank via GitHub Datasets),13979,4,0.561,downloaded,macroeconomic
mena_population_worldbank,https://raw.githubusercontent.com/datasets/population/master/data/population.csv,https://raw.githubusercontent.com/datasets/population/master/data/population.csv,390,4,0.01,downloaded,macroeconomic
natural_gas_prices,https://raw.githubusercontent.com/datasets/natural-gas/master/data/monthly.csv,https://raw.githubusercontent.com/datasets/natural-gas/master/data/monthly.csv,353,2,0.005,downloaded,macroeconomic
oil_prices_brent,https://raw.githubusercontent.com/datasets/oil-prices/master/data/brent-monthly.,https://raw.githubusercontent.com/datasets/oil-prices/master/data/brent-monthly.csv,469,2,0.008,downloaded,macroeconomic
uae_cpi_inflation_monthly,UAE Central Bank / FCSC - CPI Data,UAE Central Bank / FCSC - CPI Data,180,10,0.012,generated_from_public_stats,macroeconomic
uae_employment_statistics,FCSC Labor Force Statistics,FCSC Labor Force Statistics,60,10,0.003,generated_from_public_stats,macroeconomic
uae_fdi_statistics,UAE Ministry of Economy FDI Report,UAE Ministry of Economy FDI Report,10,6,0.0,generated_from_public_stats,macroeconomic
uae_gdp_annual,UAE Federal Competitiveness & Statistics Centre (FCSC) / World Bank - Modeled,UAE Federal Competitiveness & Statistics Centre (FCSC) / World Bank - Modeled,25,7,0.001,generated_from_public_stats,macroeconomic
uae_interest_mortgage_rates,UAE Central Bank / EIBOR published rates,UAE Central Bank / EIBOR published rates,120,12,0.009,generated_from_public_stats,macroeconomic
uae_mena_gdp_filtered,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD - UAE filtered,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD - UAE filtered,464,4,0.018,generated_from_public_stats,macroeconomic
uae_population_demographics,FCSC UAE Population Statistics,FCSC UAE Population Statistics,25,11,0.002,generated_from_public_stats,macroeconomic
uae_tourism_statistics,Dubai Tourism (DTCM) published statistics,Dubai Tourism (DTCM) published statistics,10,6,0.0,generated_from_public_stats,macroeconomic
world_cpi,https://raw.githubusercontent.com/datasets/cpi/master/data/cpi.csv,https://raw.githubusercontent.com/datasets/cpi/master/data/cpi.csv,11182,4,0.437,downloaded,macroeconomic
