project_id,project_name,project_type,authority,emirate,budget_aed_million,start_year,expected_completion_year,status,latitude,longitude,impact_on_real_estate,estimated_jobs_created
INFRA-0001,Smart City - Zone 18,Smart City,Smart Dubai,Dubai,342,2021,2026,Completed,25.1131,55.3851,Medium,5966
INFRA-0002,Cycling Track - Zone 9,Cycling Track,ADJP,Sharjah,2565,2020,2024,In Progress,25.0755,55.0674,Medium,2948
INFRA-0003,Free Zone - Zone 17,Free Zone,ADNOC,Dubai,3490,2018,2022,Planned,25.0614,55.6299,High,5785
INFRA-0004,Port Development - Zone 17,Port Development,RTA,Dubai,878,2021,2024,Planned,24.8468,54.9342,Low,5196
INFRA-0005,Road Widening - Zone 16,Road Widening,DEWA,Other,3104,2022,2025,Completed,25.3234,55.024,Medium,9139
INFRA-0006,Metro Expansion - Zone 17,Metro Expansion,DMRC,Abu Dhabi,3268,2023,2025,Completed,25.099,55.4535,Medium,9753
INFRA-0007,District Cooling - Zone 17,District Cooling,Dubai South,Sharjah,3387,2024,2028,Completed,25.3403,55.575,High,6775
INFRA-0008,Mixed Use Development Zone - Zone 10,Mixed Use Development Zone,ADJP,Dubai,3638,2024,2025,Completed,25.2887,55.5213,High,2133
INFRA-0009,Smart City - Zone 2,Smart City,RTA,Dubai,1255,2019,2020,Tendered,25.1497,55.6797,Medium,4623
INFRA-0010,Road Widening - Zone 9,Road Widening,ADNOC,Dubai,3271,2022,2024,Completed,25.3655,55.1236,Low,2996
INFRA-0011,Smart Road - Zone 16,Smart Road,ADJP,Dubai,2612,2018,2021,Completed,25.1045,54.9813,Low,4267
INFRA-0012,District Cooling - Zone 13,District Cooling,DEWA,Dubai,2301,2019,2021,In Progress,24.9051,55.3783,High,4115
INFRA-0013,Water Infrastructure - Zone 11,Water Infrastructure,RTA,Other,1204,2018,2019,In Progress,25.1052,55.6231,High,7325
INFRA-0014,Mixed Use Development Zone - Zone 7,Mixed Use Development Zone,Dubai South,Dubai,3826,2022,2025,Planned,25.064,55.2682,Medium,4951
INFRA-0015,District Cooling - Zone 1,District Cooling,Dubai South,Dubai,3023,2023,2027,Completed,25.0223,55.5104,Medium,8193
INFRA-0016,Metro Expansion - Zone 17,Metro Expansion,Expo Authority,Dubai,1086,2019,2024,Planned,25.2115,54.9895,Medium,3421
INFRA-0017,Smart City - Zone 1,Smart City,RTA,Dubai,499,2022,2024,Tendered,25.2013,55.0204,Medium,1005
INFRA-0018,Port Development - Zone 15,Port Development,Smart Dubai,Abu Dhabi,1982,2019,2024,In Progress,25.3769,54.9625,Low,6480
INFRA-0019,Free Zone - Zone 14,Free Zone,ADNOC,Abu Dhabi,3267,2023,2025,Planned,25.2421,55.5757,Medium,9656
INFRA-0020,Cycling Track - Zone 2,Cycling Track,DMRC,Dubai,3258,2024,2027,Completed,25.0756,55.3354,Medium,9318
INFRA-0021,Smart City - Zone 8,Smart City,RTA,Abu Dhabi,2293,2018,2020,Planned,25.2617,55.6488,Low,4342
INFRA-0022,Free Zone - Zone 1,Free Zone,RTA,Dubai,4312,2024,2029,In Progress,25.3609,55.0223,Medium,1370
INFRA-0023,Water Infrastructure - Zone 19,Water Infrastructure,ADNOC,Dubai,173,2021,2025,Completed,24.8427,55.3647,Medium,9676
INFRA-0024,Metro Expansion - Zone 17,Metro Expansion,RTA,Dubai,1561,2022,2023,Completed,25.3334,55.5557,Medium,502
INFRA-0025,Mixed Use Development Zone - Zone 9,Mixed Use Development Zone,DMRC,Dubai,3690,2021,2026,Completed,25.2202,55.3644,Medium,5639
INFRA-0026,Metro Expansion - Zone 13,Metro Expansion,RTA,Dubai,4794,2019,2020,In Progress,25.0157,55.3762,Low,5725
INFRA-0027,District Cooling - Zone 18,District Cooling,ADNOC,Dubai,2867,2021,2023,Completed,25.007,54.9386,Medium,6465
INFRA-0028,District Cooling - Zone 16,District Cooling,RTA,Abu Dhabi,2619,2019,2020,In Progress,25.0988,55.3209,Low,8591
INFRA-0029,Cycling Track - Zone 12,Cycling Track,Smart Dubai,Dubai,2121,2024,2029,In Progress,25.2226,55.3598,Medium,3201
INFRA-0030,Smart Road - Zone 11,Smart Road,DEWA,Sharjah,3713,2021,2022,In Progress,24.919,55.0237,Low,1607
INFRA-0031,Cycling Track - Zone 18,Cycling Track,Dubai Municipality,Sharjah,3256,2022,2023,In Progress,24.9353,55.402,High,4955
INFRA-0032,Smart City - Zone 4,Smart City,RTA,Sharjah,1359,2024,2029,In Progress,25.2645,55.5601,Medium,8151
INFRA-0033,Airport Expansion - Zone 1,Airport Expansion,ADNOC,Dubai,2163,2020,2023,Completed,25.0694,55.1858,Low,8719
