dealer_id,dealer_name,brand,state,city,address,postal_code,tier,established_year,monthly_capacity,showroom_area_sqm,service_center,ev_charging_station,num_salespeople,annual_target_units,performance_score,google_rating,latitude,longitude
DLR0001,Volkswagen Zentrum Dortmund,Volkswagen,Nordrhein-Westfalen,Dortmund,Robert-Bosch-Straße 95,44633,Gold,1997,335,2706,True,False,27,1850,92.7,4.6,51.55992,7.4935
DLR0002,MG Zentrum Dortmund,MG,Nordrhein-Westfalen,Dortmund,Gewerbering 91,44732,Platinum,2003,200,2324,True,False,25,250,95.5,4.2,51.53698,7.4903
DLR0003,Kia Zentrum Essen,Kia,Nordrhein-Westfalen,Essen,Carl-Benz-Straße 54,45040,Platinum,1985,284,3108,False,True,23,300,95.2,4.3,51.48497,6.97008
DLR0004,Mercedes-Benz Zentrum Düsseldorf,Mercedes-Benz,Nordrhein-Westfalen,Düsseldorf,Otto-Hahn-Straße 48,40924,Silver,1981,295,1295,True,True,11,925,65.7,4.6,51.24903,6.80087
DLR0005,Audi Zentrum Köln,Audi,Nordrhein-Westfalen,Köln,Gewerbering 71,50800,Gold,1977,102,2969,True,False,16,850,62.2,4.4,50.95523,6.91326
DLR0006,BMW Zentrum Duisburg,BMW,Nordrhein-Westfalen,Duisburg,Daimlerstraße 110,47671,Silver,1970,149,1737,True,True,33,850,72.2,4.5,51.42409,6.73978
DLR0007,Dacia Zentrum Essen,Dacia,Nordrhein-Westfalen,Essen,Gewerbering 122,45084,Platinum,1995,175,1824,True,False,30,400,72.1,4.3,51.41928,7.01909
DLR0008,Ford Zentrum München,Ford,Bayern,München,Rudolf-Diesel-Straße 132,80595,Gold,1958,188,1939,True,True,35,700,74.4,4.0,48.1053,11.53377
DLR0009,Hyundai Zentrum Nürnberg,Hyundai,Bayern,Nürnberg,Daimlerstraße 158,90343,Gold,1981,195,2918,True,True,36,625,71.7,4.8,49.42561,11.05923
DLR0010,Kia Zentrum Ingolstadt,Kia,Bayern,Ingolstadt,Rudolf-Diesel-Straße 177,85742,Gold,1967,237,2249,True,True,28,275,73.0,4.1,48.80393,11.40412
DLR0011,Opel Zentrum München,Opel,Bayern,München,Otto-Hahn-Straße 105,80783,Silver,1993,199,2852,False,False,23,500,89.7,4.8,48.16386,11.55052
DLR0012,Skoda Zentrum München,Skoda,Bayern,München,Otto-Hahn-Straße 77,80652,Platinum,1974,328,2648,True,True,24,625,94.6,4.0,48.08921,11.55661
DLR0013,BMW Zentrum Mannheim,BMW,Baden-Württemberg,Mannheim,Hauptstraße 48,68516,Gold,2002,168,818,True,True,11,650,64.1,4.6,49.4582,8.44621
DLR0014,Toyota Zentrum Karlsruhe,Toyota,Baden-Württemberg,Karlsruhe,Carl-Benz-Straße 28,76001,Gold,1972,118,1736,True,True,34,325,78.6,4.2,49.00003,8.43176
DLR0015,Renault Zentrum Karlsruhe,Renault,Baden-Württemberg,Karlsruhe,Gewerbering 41,76322,Gold,1990,150,2985,True,True,23,575,73.2,4.8,48.96176,8.39978
DLR0016,MINI Zentrum Freiburg,MINI,Baden-Württemberg,Freiburg,Bundesstraße 109,79047,Platinum,1974,124,751,True,True,35,375,63.1,4.0,48.01101,7.81626
DLR0017,Seat Zentrum Frankfurt am Main,Seat,Hessen,Frankfurt am Main,Otto-Hahn-Straße 124,60849,Gold,1984,91,1401,True,True,33,675,88.3,4.8,50.08633,8.72398
DLR0018,Volkswagen Zentrum Kassel,Volkswagen,Hessen,Kassel,Daimlerstraße 163,34984,Gold,1959,180,2535,True,False,32,1325,82.4,4.1,51.3041,9.46146
DLR0019,Skoda Zentrum Darmstadt,Skoda,Hessen,Darmstadt,Hauptstraße 132,64346,Platinum,1978,94,2455,True,False,14,550,87.1,4.2,49.9118,8.66058
DLR0020,Tesla Zentrum Hannover,Tesla,Niedersachsen,Hannover,Industriestraße 120,30693,Platinum,1958,133,2685,False,True,24,350,62.6,4.9,52.38436,9.69469
DLR0021,Toyota Zentrum Osnabrück,Toyota,Niedersachsen,Osnabrück,Gewerbering 75,49536,Silver,1964,245,1155,True,True,17,275,72.0,4.6,52.31352,7.99902
DLR0022,Mercedes-Benz Zentrum Hannover,Mercedes-Benz,Niedersachsen,Hannover,Otto-Hahn-Straße 152,30873,Platinum,2005,153,2249,True,True,27,650,85.0,4.6,52.38259,9.75784
DLR0023,Opel Zentrum Koblenz,Opel,Rheinland-Pfalz,Koblenz,Rudolf-Diesel-Straße 166,56514,Gold,2011,93,787,True,True,32,350,65.2,4.8,50.3464,7.60726
DLR0024,Audi Zentrum Ludwigshafen,Audi,Rheinland-Pfalz,Ludwigshafen,Industriestraße 48,67178,Silver,1995,139,2999,True,True,34,500,78.0,4.6,49.51524,8.43311
